_id,date,center_name,attendance_count

49150498,2025-11-14,Arlington Community Center,25
49150499,2025-11-14,Brookline Community Center,25
49150500,2025-11-14,Ormsby Community Center,5
49150501,2025-11-14,Paulson Community Center,14
49150502,2025-11-14,Phillips Community Center,65
49150503,2025-11-14,Warrington Community Center,39
49150504,2025-11-14,Jefferson Community Center,48
49150505,2025-11-14,Magee Community Center,46
49150506,2025-11-14,West Penn Community Center,58
49150507,2025-11-13,Ammon Community Center,15
49150508,2025-11-13,Brookline Community Center,32
49150509,2025-11-13,Arlington Community Center,15
49150510,2025-11-13,Ormsby Community Center,6
49150511,2025-11-13,Phillips Community Center,55
49150512,2025-11-13,Paulson Community Center,15
49150513,2025-11-13,Warrington Community Center,69
49150514,2025-11-13,Magee Community Center,31
49150515,2025-11-13,West Penn Community Center,167
49150516,2025-11-12,Arlington Community Center,32
49150517,2025-11-12,Brookline Community Center,23
49150518,2025-11-12,Ormsby Community Center,7
49150519,2025-11-12,Paulson Community Center,17
49150520,2025-11-12,Phillips Community Center,51
49150521,2025-11-12,Warrington Community Center,49
49150522,2025-11-12,Magee Community Center,40
49150523,2025-11-12,Jefferson Community Center,44
49150524,2025-11-12,West Penn Community Center,136
49150525,2025-11-10,Brookline Community Center,27
49150526,2025-11-10,Arlington Community Center,28
49150527,2025-11-10,Ormsby Community Center,9
49150528,2025-11-10,Phillips Community Center,58
49150529,2025-11-10,Paulson Community Center,18
49150530,2025-11-10,Warrington Community Center,41
49150531,2025-11-10,Jefferson Community Center,47
49150532,2025-11-10,Magee Community Center,36
49150533,2025-11-10,West Penn Community Center,93
49150534,2025-11-08,Ormsby Community Center,1
49150535,2025-11-08,Paulson Community Center,3
49150536,2025-11-08,Phillips Community Center,1
49150537,2025-11-08,Warrington Community Center,12
49150538,2025-11-08,Magee Community Center,6
49150539,2025-11-08,West Penn Community Center,48
49150540,2025-11-07,Arlington Community Center,17
49150541,2025-11-07,Brookline Community Center,26
49150542,2025-11-07,Ormsby Community Center,3
49150543,2025-11-07,Phillips Community Center,24
49150544,2025-11-07,Paulson Community Center,20
49150545,2025-11-07,Warrington Community Center,51
49150546,2025-11-07,Magee Community Center,34
49150547,2025-11-07,Jefferson Community Center,51
49150548,2025-11-07,West Penn Community Center,53
49150549,2025-11-06,Ammon Community Center,1
49150550,2025-11-06,Brookline Community Center,32
49150551,2025-11-06,Arlington Community Center,13
49150552,2025-11-06,Ormsby Community Center,5
49150553,2025-11-06,Paulson Community Center,4
49150554,2025-11-06,Phillips Community Center,52
49150555,2025-11-06,Warrington Community Center,54
49150556,2025-11-06,Jefferson Community Center,41
49150557,2025-11-06,Magee Community Center,19
49150558,2025-11-06,West Penn Community Center,160
49150559,2025-11-05,Ammon Community Center,5
49150560,2025-11-05,Arlington Community Center,38
49150561,2025-11-05,Brookline Community Center,25
49150562,2025-11-05,Ormsby Community Center,10
49150563,2025-11-05,Phillips Community Center,48
49150564,2025-11-05,Paulson Community Center,20
49150565,2025-11-05,Warrington Community Center,49
49150566,2025-11-05,Magee Community Center,21
49150567,2025-11-05,Jefferson Community Center,58
49150568,2025-11-05,West Penn Community Center,144
49150569,2025-11-04,Ormsby Community Center,6
49150570,2025-11-04,Phillips Community Center,2
49150571,2025-11-04,Magee Community Center,41
49150572,2025-11-03,Brookline Community Center,43
49150573,2025-11-03,Arlington Community Center,15
49150574,2025-11-03,Ormsby Community Center,14
49150575,2025-11-03,Phillips Community Center,34
49150576,2025-11-03,Paulson Community Center,22
49150577,2025-11-03,Warrington Community Center,70
49150578,2025-11-03,Magee Community Center,30
49150579,2025-11-03,Jefferson Community Center,32
49150580,2025-11-03,West Penn Community Center,96
49150581,2025-11-01,Ormsby Community Center,4
49150582,2025-11-01,Warrington Community Center,5
49150583,2025-11-01,Magee Community Center,7
49150584,2025-11-01,West Penn Community Center,50
49150585,2025-10-31,Arlington Community Center,12
49150586,2025-10-31,Brookline Community Center,21
49150587,2025-10-31,Ormsby Community Center,5
49150588,2025-10-31,Paulson Community Center,9
49150589,2025-10-31,Phillips Community Center,7
49150590,2025-10-31,Warrington Community Center,26
49150591,2025-10-31,Magee Community Center,13
49150592,2025-10-31,Jefferson Community Center,13
49150593,2025-10-31,West Penn Community Center,71
49150594,2025-10-30,Brookline Community Center,29
49150595,2025-10-30,Arlington Community Center,8
49150596,2025-10-30,Ormsby Community Center,5
49150597,2025-10-30,Phillips Community Center,40
49150598,2025-10-30,Paulson Community Center,11
49150599,2025-10-30,Warrington Community Center,54
49150600,2025-10-30,Jefferson Community Center,38
49150601,2025-10-30,Magee Community Center,24
49150602,2025-10-30,West Penn Community Center,64
49150603,2025-10-29,Ammon Community Center,55
49150604,2025-10-29,Arlington Community Center,2
49150605,2025-10-29,Brookline Community Center,20
49150606,2025-10-29,Ormsby Community Center,15
49150607,2025-10-29,Paulson Community Center,16
49150608,2025-10-29,Phillips Community Center,49
49150609,2025-10-29,Warrington Community Center,41
49150610,2025-10-29,Magee Community Center,25
49150611,2025-10-29,Jefferson Community Center,68
49150612,2025-10-29,West Penn Community Center,83
49150613,2025-10-28,Ammon Community Center,13
49150614,2025-10-28,Brookline Community Center,55
49150615,2025-10-28,Arlington Community Center,37
49150616,2025-10-28,Ormsby Community Center,9
49150617,2025-10-28,Phillips Community Center,42
49150618,2025-10-28,Paulson Community Center,11
49150619,2025-10-28,Warrington Community Center,52
49150620,2025-10-28,Jefferson Community Center,59
49150621,2025-10-28,Magee Community Center,31
49150622,2025-10-28,West Penn Community Center,92
49150623,2025-10-27,Arlington Community Center,13
49150624,2025-10-27,Brookline Community Center,31
49150625,2025-10-27,Ormsby Community Center,7
49150626,2025-10-27,Paulson Community Center,19
49150627,2025-10-27,Phillips Community Center,57
49150628,2025-10-27,Warrington Community Center,59
49150629,2025-10-27,Magee Community Center,23
49150630,2025-10-27,Jefferson Community Center,39
49150631,2025-10-27,West Penn Community Center,72
49150632,2025-10-26,Magee Community Center,1
49150633,2025-10-25,Ormsby Community Center,1
49150634,2025-10-25,Magee Community Center,3
49150635,2025-10-25,West Penn Community Center,36
49150636,2025-10-24,Brookline Community Center,22
49150637,2025-10-24,Arlington Community Center,30
