neighborhood,avg_years_active,business_count,years_norm,count_norm,stability_score
Downtown,9.814732972687507,792,1.0,1.0,1.0
Oakland,8.924378141321974,577,0.9076348504102185,0.7281921618204804,0.8358577749743232
South Side,8.337253437869455,376,0.8467267055315347,0.4740834386852086,0.6976693987930043
Lawrenceville,8.197447931944852,280,0.8322233232694357,0.3527180783817952,0.6404212253143795
North Side,7.251600000737965,371,0.7341013357455171,0.46776232616940583,0.6275657319150725
East Liberty,7.492929371198327,318,0.7591367739974694,0.40075853350189633,0.6157854777992402
Shadyside,8.68877574939289,146,0.8831935272347552,0.18331226295828065,0.6032410215241654
Bloomfield,7.733590661385457,183,0.7841029057974305,0.23008849557522124,0.5624971417085467
Carrick,6.699520876112253,242,0.6768288089561223,0.30467762326169406,0.527968334678351
Squirrel Hill,6.712817358205032,237,0.6782081821164093,0.29835651074589126,0.5262675135682021
Perry North,4.020464274527547,59,0.3989042612953343,0.07332490518331226,0.26867251885052545
Regent Square,0.17522245037645448,1,0.0,0.0,0.0
